userId,reviewDate,userReview,movieId,movieName
22761455,1 June 2019,"This movie, a brilliant &amp; touching send off to one of the best series ever aired, is like a study on how to write a finale. Every character has a prime moment, the story flows beautifully and it's full of comedy, pathos &amp; action. It makes me wonder how HBO let some shows go on well past their due date and ended this prematurely. Congratulations to all involved for giving the fans the best send off anyone could expect and more.",4943998,Deadwood
4821031,1 June 2019,"Just wanted to say thanks to HBO, I doubt this was overly profitable but you made a lot of fans happy instead. Great ending to a beloved series.",4943998,Deadwood
34728869,1 June 2019,"Finally, we returned to Deadwood! My family has been waiting for this for SOO Long...we felt like we were attending a family reunion after being away for 10 years...this is the most perfect ending to a perfect series...every once in a while in the movie industry, all actors, actresses, plot, scenery, director &amp; writer come together to make an unforgettable, magical work of art....this is DEADWOOD. The characters have aged but the magnificent prose that each espoused years ago is still as familiar as old slippers....The end was very much like attending the funeral of a beloved relative....too bad there will never be another masterpiece like this show!",4943998,Deadwood
15588823,2 June 2019,"Fantastic to have one last chance to visit these wonderfully rendered characters, listen to the language and lines, and get a feel for the time period again.
An amazing job to get them all back together again and carry on like nothing had passed, except time, and it is not lost on us what a privilege and major feat it was to make that happen, although it shouldn't have been so in the first place, thank you to all involved who pushed this through, diverting budget from another hollow reality show with no meaning, into something of artistic merit, which this most certainly is.To the actual movie/episode; the story was almost secondary to giving the characters some forward movement, and closure, to see how they had carried on with their lives, learned to live with each other etc etc, and the plot did feel kind of secondary to that, ie baddie did something bad, and is found out, case closed etc.Seeing Swearingen age and Succumb to life was a core feature of this episode, but there was so much to fit into such a small space, but so thankful they did. It should be more, why isn't it?",4943998,Deadwood
50301989,1 June 2019,"Blown away, this is my favorite tv series of all time and the best hbo has ever been along with The Wire. I was crying, laughing, shaking, swearing, and feeling so many other emotions throughout the movie that I am exhausted. This was the perfect send of, and every series who is looking to satisfy there fans should follow suit. True to the characters and true to the essence of Deadwood. Thank you for this show as there will never be anything else like it.",4943998,Deadwood
65886849,1 June 2019,"Great to see one of the best series on hbo or all of tv for that matter getting a proper sendoff. But, I can't help but to want to see what happens now. Hopefully I am not alone and we can get a second movie or mini series.",4943998,Deadwood
78126976,1 June 2019,"Mmm...maybe these guys should have written and directed the Game of Thrones attempt...
It's been what..13...years..and it feels like the story never left you. You get sucked right back into this world that you never wanted to leave in the first place.. Unbelievable writing, directing, acting, cinematography....all of it and more...excellent. Maybe a little on the sentimental side, it still had enough of the dark to be 'Deadwood'. It was a well spent couple of hours and I highly recommend it to any fan of the series.",4943998,Deadwood
97841383,5 June 2019,"Although I did enjoy the movie, I did so mainly because I loved the series and was happy to revisit with the characters after so many years. But, I have to say that I was disappointed. As for many Deadwood viewers, I loved the Swearengen character. McShane really stole the series. That's why I was disappointed in a movie where he's reduced to a character completely lacking the personality shown throughout the series.And while I have no complaint with the character, or actress, the amount of time spent on Calamity Jane was completely out of proportion relative to her role during the series.",4943998,Deadwood
25172928,1 June 2019,"I have watched Deadwood many times over and waited in anticipation for this movie. I truly was not disappointed. It was unfortunate that a few characters were missing (due to death and other committments) however it was perfect. It did not feel like years had passed since the final series episode ended.
I cried and I laughed but most of all I wanted it to never end.",4943998,Deadwood
45522156,1 June 2019,"Just finished watching, it was a joy to see these actors again in these roles. I hope it was as much a labor of love for them in measure to the joy it gave us to view the reunion of the characters they portrayed. I'm sure we'll be watching it many times over! Great writing! great acting !",4943998,Deadwood
70958398,1 June 2019,"Based on my opinion of the excellent series I wanted to rate this so much higher.The performances are great, the production values high, dialogue and humour good and delivered well.Unfortunately the plot, or what passes for a plot feels so contrived. Too much packed into 2 hours ruins the pace and impacts on the delivery. No subtlety, no flavour. It's not the Deadwood I remembered so fondly.At the end I felt like I'd watched a Christmas Special of an average drama.",4943998,Deadwood
19009969,4 June 2019,"One of the greatest series of all time gets a tired finishing film! I absolutely loved the program but this just felt forced! We should of got a final season, not an 1h50m of scattered stories which just seemed uninteresting in my opinion...It was fun seeing the characters back together thoughWhen I go back to watching the first three seasons again I won't be adding the film to the rewatch. Pretty disappointing.",4943998,Deadwood
